Map Analyzer Report — mauville.json (140x120)
Generated: 2026-04-11T17:52:46.373Z
 35: #######################################################!########P#o#oo#...#####o###################oo##########o#####oo#####################
 36: #######################################################################...S########################oo##########o#####oo#####################
 37: ######################################################################.*...*.######################oo##########o#####oo#####################
 38: ####################################################################oo#.....#oo#o#o################oo##########o#####oo#####################
 39: #########################################################o####o#o#####......####o##################oo##########o#####oo#####################
 40: #######################################################oooo########.#........#P#o##################oo##########o#####oo#####################
 41: ####################################################o#ooo##########*...........##o#################oo##########o#####oo#####################
 42: ####################################################oo####ooo###.!.............#o##o###############oo##########o#####oo#####################
 43: #######################################################ooo######...........##..##o###o#############oo##########o#####oo#####################
 44: ooooooooooooooooooooooooooooooooooooooooooooooooooooooo#o####.*............##.*.###################oo##########o#####oo#####################
 45: ooooooooooooooooooooooooooooooooooooooooooooooooooo#ooo###ooo#................##oo#ooo#############oo##########o#####oo#####################
 46: oooooooooooooooooooooooooooooooooooooooooooooooooooo#####ooo##................#ooo#################oo##########o#####oo#####################
 47: ######################################################oo#######.......##############o###o##########oo##########o#####oo#####################
 48: oooooooooooooooooooooooooooooooooooooooooooooooooo#ooooooooooo#.......#ooo##########o##############oo##########o#####oo#####################
 49: ############################oooooooooooooooooooooo#oooooooooooL.......#oo##########################oo##########o#####oo#####################
 50: #######################ooo##oooooooooooooooooooooo##oooooooooo#.......#############################oo##########o#####oo#####################
 51: #o######oooo############o#o#ooooooooo#ooPooooooooo##oooooooooo#.......#o###########################oo##########o#####oo#####################
 52: #ooPoooooooo##############o##ooooooooooooooooooooo#oooo######o#.......#############################oo##########o#####oo#####################
 53: #####ooooooo##P########oo###ooPooooooooo####oo#ooo##oo#######o#.......#########.###################o###################o####################
 54: oooo#ooooooo##############ooooo#oooooLoo####oooooo#############.......#########*#######################################o################oo##
 55: oooo#ooooooooooN##############!######.#S###########....P.#LL...........#LLS#...*...##########...############P###############oP##o###########
 56: oooo#oSooooooooo#####............N...*............S.....*....S.....................S.....##.....#######S####o#########ooo####oooo#######oooo
 57: ooo##oooooooooNNNN###..........................................N.....S...........................N.....P...###########Pooo####oooooooooooooo
 58: ooooooooooooooNNNN...............................L..................N...@.................L.....**.........###########Noooooo##oo###########
 59: ooooooooooooooNNNN...........########...................................!......................#P..........N##########ooooooo###ooPooooooooo
 60: oooooooooo###oNNNN...........########.....................................N...................P#............#############oooo###oooooooooooo
 61: oooooooooo####NNNN..........##########............#....#######..N.........................*..*.#*.*#........#############ooooo###ooooooooooo
 62: oooooooNoo######............##########.S..........#....#######..############.....#########.#####*N.#......###############oooooo######ooo###o
 63: #ooo###ooo######............##.###P##...........###....###.###..#.*.########.....###############.###......################oooooooooooooo####
 64: oooooo#ooo########..........##*....##........############.*.....#..N#####LLS.....#########oooo######.*#...##################ooooooooooo#####
 65: oooooo#oPo########.P.......................#########oooo#....S..#...................*.#############o#*.##########################ooooooooo##
 66: oooooo#ooo########.........................############o#.......#..............NP....###oo##################################################
 67: ##################........................###############.......#....................###oo##################################################
 68: ooooooN###o######o##.....................########################....##############*.#######################################################
 69: o#####o###############.....###########..###################o##.......########oN.****########################################################
 70: ##############################################################L......#########o#############################################################
 71: ##############################################################.......#######################################################################
 72: #############################################################.......########################################################################
 73: #############################################################.......#o################o#####################################################
 74: #############################################################......##oooo###################################################################
 75: #############################################################......#########################################################################
 76: ############################################################.......##oooooooooooooo#########################################################
 77: ############################################################.....N.##oooooooooooooo#########################################################
 78: ############################################################N......##oooooooooooooo#########################################################
 79: ############################################################.......##oooooooooooooo#o#######################################################
 80: ############################################################.......####oo###ooo#####o#######################################################
 81: ######################################################.###.........####oo###ooo#####o#######################################################
 82: ######################################################*............####oo#o#ooo#o#oo########################################################
 83: ######################################################..........#######oo#o#ooo########oo###################################################
 84: ######################################################..........#######oo###ooo#############################################################
 85: ######################################################..........#o##o#oooooooooooooo########################################################
 86: ######################################################.........S######oooo##ooo#ooo#########################################################
 87: #####################################################S.............#ooooo###ooo##oo#########################################################
 88: #####################################################.........*.*..#oooo####ooo#############################################################
 89: #####################################################.....##N#.P.###########ooo#############################################################
 90: #####################################################...####################ooo#############################################################
 91: #####################################################...####################ooo#############################################################
 92: #####################################################...####################ooo#############################################################
 93: #####################################################...##########oo########ooo#############################################################
 94: #####################################################...#########ooo########ooo######o######################################################
 95: #####################################################..P#########S##########ooP####ooo##o###################################################
 96: #####################################################...#########ooo########ooo####ooo######################################################
 97: #####################################################...################P###ooo####ooo######################################################
 98: #####################################################...####################ooo####oo#######################################################
 99: #####################################################...###################ooooo############################################################
100: #####################################################.P.##oooooooooooooooooooooooo##########################################################
101: #####################################################...###oooooooooooooooooooooo###########################################################
102: #####################################################...###oooooooooooooooooooooo###########################################################
103: #####################################################...#####ooo####o#####o#################################################################
104: #####################################################...#####ooo############################################################################
105: #####################################################...#####oPo############################################################################
106: #####################################################...#####ooo############################################################################
107: #####################################################...#P###ooo############################################################################
108: #####################################################....####ooo############################################################################
109: #####################################################......NoooooooPooooooooooooooo#ooo#####################################################
110: #####################################################......Nooooooooooooooooooooooooooo#####################################################
111: #####################################################......Nooooooooooooooooooooooooooo#####################################################
112: #############################################################ooo#################oooooo#####################################################
113: #############################################################ooo##################ooooo#####################################################
114: #############################################################ooo##################ooooo#####################################################
115: #############################################################ooo##################ooooo#####################################################
116: #############################################################ooo###########ooo####ooooo#####################################################
117: #############################################################ooo###########oNo####ooooo#####################################################
118: #############################################################ooo############oo####ooooo#####################################################
119: #############################################################ooo##################ooooo#####################################################
